Date,Mine,Pit,Production_Tonnes,Target_Tonnes,Equipment_Availability_Pct,Equipment_Utilisation_Pct,Downtime_Hours,Production_Year,Production_Month,Month_Name,Production_Variance_Tonnes,Production_Shortfall_Tonnes,Production_Surplus_Tonnes,Target_Achievement_Pct,Production_Status,Production_Performance_Category,Availability_Status,Utilisation_Status,Downtime_Category,Equipment_Performance_Status,Possible_Production_Constraint,Production_Risk_Level
2025-01-04,Mankokobi Coal Mine,North Pit,7607.4,7620.1,83.2,70.1,10.8,2025,1,Jan,-12.7,12.7,0,99.83,Below Target,Slightly Below Target,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-01-04,Mankokobi Coal Mine,South Pit,7430.2,6830.2,84.6,67.4,4.2,2025,1,Jan,600,0,600,108.78,Target Achieved,Target Achieved,Moderate Availability,Poor Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,High Risk
2025-01-05,Mankokobi Coal Mine,Central Pit,7611.4,7163.6,87.6,84.8,8.7,2025,1,Jan,447.8,0,447.8,106.25,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-05,Mankokobi Coal Mine,North Pit,8575.2,7735.3,81.4,83.7,11.6,2025,1,Jan,839.9,0,839.9,110.86,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-05,Mankokobi Coal Mine,South Pit,7414.4,6913.5,96.6,59.7,3.8,2025,1,Jan,500.9,0,500.9,107.25,Target Achieved,Target Achieved,Good Availability,Poor Utilisation,Low Downtime,Available but Underutilised,No Production Shortfall,High Risk
2025-01-06,Mankokobi Coal Mine,Central Pit,7822.5,8307.7,85.1,72.3,12,2025,1,Jan,-485.2,485.2,0,94.16,Below Target,Underperforming,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-01-06,Mankokobi Coal Mine,North Pit,7570.1,7600.5,93.7,84.3,5.8,2025,1,Jan,-30.4,30.4,0,99.6,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-01-06,Mankokobi Coal Mine,South Pit,7332.6,7162.4,94.4,79.8,5.3,2025,1,Jan,170.2,0,170.2,102.38,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-07,Mankokobi Coal Mine,Central Pit,8388.7,8222.3,86.4,59.4,5.6,2025,1,Jan,166.4,0,166.4,102.02,Target Achieved,Target Achieved,Moderate Availability,Poor Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,High Risk
2025-01-07,Mankokobi Coal Mine,North Pit,7992.2,8293.2,93.3,73.1,5.7,2025,1,Jan,-301,301,0,96.37,Below Target,Slightly Below Target,Good Availability,Poor Utilisation,Low Downtime,Available but Underutilised,Low Equipment Utilisation,Medium Risk
2025-01-07,Mankokobi Coal Mine,South Pit,6944.7,6786.3,83.6,76.9,8.3,2025,1,Jan,158.4,0,158.4,102.33,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-08,Mankokobi Coal Mine,Central Pit,7875,7679.5,98,76.7,4.9,2025,1,Jan,195.5,0,195.5,102.55,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-08,Mankokobi Coal Mine,North Pit,6585.5,7829,95.7,77.9,6.3,2025,1,Jan,-1243.5,1243.5,0,84.12,Below Target,Critical Underperformance,Good Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-08,Mankokobi Coal Mine,South Pit,6278.8,7101.3,88,83.4,10.5,2025,1,Jan,-822.5,822.5,0,88.42,Below Target,Critical Underperformance,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-09,Mankokobi Coal Mine,Central Pit,7803.2,7259.3,88.4,74.5,5.3,2025,1,Jan,543.9,0,543.9,107.49,Target Achieved,Target Achieved,Moderate Availability,Poor Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-09,Mankokobi Coal Mine,North Pit,7394.8,8622,83,87.8,9.3,2025,1,Jan,-1227.2,1227.2,0,85.77,Below Target,Critical Underperformance,Moderate Availability,Good Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-09,Mankokobi Coal Mine,South Pit,6955.9,6998.4,85.2,67.1,9.4,2025,1,Jan,-42.5,42.5,0,99.39,Below Target,Slightly Below Target,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,Low Equipment Utilisation,High Risk
2025-01-10,Mankokobi Coal Mine,Central Pit,6399.8,7309.6,86.2,83.7,11,2025,1,Jan,-909.8,909.8,0,87.55,Below Target,Critical Underperformance,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-10,Mankokobi Coal Mine,North Pit,8268.1,8513.6,83,82.3,4.8,2025,1,Jan,-245.5,245.5,0,97.12,Below Target,Slightly Below Target,Moderate Availability,Moderate Utilisation,Low Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-01-10,Mankokobi Coal Mine,South Pit,7415.1,7578.1,98,75.7,11.7,2025,1,Jan,-163,163,0,97.85,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-11,Mankokobi Coal Mine,Central Pit,8534.3,7952.1,94.7,79.6,3.7,2025,1,Jan,582.2,0,582.2,107.32,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-11,Mankokobi Coal Mine,North Pit,7316,8395.2,92.3,69.3,10.1,2025,1,Jan,-1079.2,1079.2,0,87.15,Below Target,Critical Underperformance,Good Availability,Poor Utilisation,High Downtime,Available but Underutilised,Low Equipment Utilisation,High Risk
2025-01-11,Mankokobi Coal Mine,South Pit,7311.9,7098.1,84.1,91.1,9.5,2025,1,Jan,213.8,0,213.8,103.01,Target Achieved,Target Achieved,Moderate Availability,Good Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-12,Mankokobi Coal Mine,Central Pit,9463.6,8115.9,90.3,83.8,4.4,2025,1,Jan,1347.7,0,1347.7,116.61,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Low Risk
2025-01-12,Mankokobi Coal Mine,North Pit,7603.9,8618,82.8,72.7,10.3,2025,1,Jan,-1014.1,1014.1,0,88.23,Below Target,Critical Underperformance,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-01-12,Mankokobi Coal Mine,South Pit,6123,6348,83.8,84.2,9.3,2025,1,Jan,-225,225,0,96.46,Below Target,Slightly Below Target,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-13,Mankokobi Coal Mine,Central Pit,7110.7,7246.2,93.4,78.3,5.2,2025,1,Jan,-135.5,135.5,0,98.13,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-13,Mankokobi Coal Mine,North Pit,10349.3,8296.9,96,76.1,5.4,2025,1,Jan,2052.4,0,2052.4,124.74,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-13,Mankokobi Coal Mine,South Pit,6779.5,6874.9,91.9,81.3,12.3,2025,1,Jan,-95.4,95.4,0,98.61,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,High Risk
2025-01-14,Mankokobi Coal Mine,Central Pit,7941.4,7788.2,81.1,79.2,8.7,2025,1,Jan,153.2,0,153.2,101.97,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-14,Mankokobi Coal Mine,North Pit,7780.9,8091.8,92.3,85.3,6.5,2025,1,Jan,-310.9,310.9,0,96.16,Below Target,Slightly Below Target,Good Availability,Good Utilisation,Moderate Downtime,Effective,Non-Equipment Constraint,Low Risk
2025-01-14,Mankokobi Coal Mine,South Pit,7024,7087.5,83.6,85.4,10.3,2025,1,Jan,-63.5,63.5,0,99.1,Below Target,Slightly Below Target,Moderate Availability,Good Utilisation,High Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-15,Mankokobi Coal Mine,Central Pit,8392.5,7835.8,89.4,78.2,8.1,2025,1,Jan,556.7,0,556.7,107.1,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-15,Mankokobi Coal Mine,North Pit,7986.8,8798.3,93.8,68.4,10.9,2025,1,Jan,-811.5,811.5,0,90.78,Below Target,Underperforming,Good Availability,Poor Utilisation,High Downtime,Available but Underutilised,Low Equipment Utilisation,High Risk
2025-01-15,Mankokobi Coal Mine,South Pit,7645.1,7248.3,94.2,84.7,11.6,2025,1,Jan,396.8,0,396.8,105.47,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,High Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-16,Mankokobi Coal Mine,Central Pit,7313,8759.1,77.7,82.8,4.7,2025,1,Jan,-1446.1,1446.1,0,83.49,Below Target,Critical Underperformance,Poor Availability,Moderate Utilisation,Low Downtime,Availability Constraint,Low Equipment Availability,Low Risk
2025-01-16,Mankokobi Coal Mine,North Pit,7048.4,7785.8,79.7,79.2,4.8,2025,1,Jan,-737.4,737.4,0,90.53,Below Target,Underperforming,Poor Availability,Moderate Utilisation,Low Downtime,Availability Constraint,Low Equipment Availability,Medium Risk
2025-01-16,Mankokobi Coal Mine,South Pit,6587.4,6586.5,86.2,88.9,5.5,2025,1,Jan,0.9,0,0.9,100.01,Target Achieved,Target Achieved,Moderate Availability,Good Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Low Risk
2025-01-17,Mankokobi Coal Mine,Central Pit,8615.9,8332,92.6,78.1,6.5,2025,1,Jan,283.9,0,283.9,103.41,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-17,Mankokobi Coal Mine,North Pit,7432.4,7984.9,89.2,78.3,8.5,2025,1,Jan,-552.5,552.5,0,93.08,Below Target,Underperforming,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-17,Mankokobi Coal Mine,South Pit,6582.6,6697.4,92.7,72.5,3.8,2025,1,Jan,-114.8,114.8,0,98.29,Below Target,Slightly Below Target,Good Availability,Poor Utilisation,Low Downtime,Available but Underutilised,Low Equipment Utilisation,Medium Risk
2025-01-18,Mankokobi Coal Mine,Central Pit,9169.8,8522.4,90.2,69.2,12.2,2025,1,Jan,647.4,0,647.4,107.6,Target Achieved,Target Achieved,Good Availability,Poor Utilisation,High Downtime,Available but Underutilised,No Production Shortfall,High Risk
2025-01-18,Mankokobi Coal Mine,North Pit,7713.1,7972.4,97.1,75.7,5.9,2025,1,Jan,-259.3,259.3,0,96.75,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-18,Mankokobi Coal Mine,South Pit,8378.8,7177.6,97.1,68.7,5.8,2025,1,Jan,1201.2,0,1201.2,116.74,Target Achieved,Target Achieved,Good Availability,Poor Utilisation,Low Downtime,Available but Underutilised,No Production Shortfall,High Risk
2025-01-19,Mankokobi Coal Mine,Central Pit,7529.6,7713.2,82.9,68.9,7.5,2025,1,Jan,-183.6,183.6,0,97.62,Below Target,Slightly Below Target,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,Low Equipment Utilisation,High Risk
2025-01-19,Mankokobi Coal Mine,North Pit,9425.1,8911,84.1,81.1,7.9,2025,1,Jan,514.1,0,514.1,105.77,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Low Risk
2025-01-19,Mankokobi Coal Mine,South Pit,7723.2,7757.2,80.1,74.9,7,2025,1,Jan,-34,34,0,99.56,Below Target,Slightly Below Target,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-01-20,Mankokobi Coal Mine,Central Pit,7443.5,7819.3,84.7,78.5,12.1,2025,1,Jan,-375.8,375.8,0,95.19,Below Target,Slightly Below Target,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,High Risk
2025-01-20,Mankokobi Coal Mine,North Pit,9049,8365.2,98,80.8,5.1,2025,1,Jan,683.8,0,683.8,108.17,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Low Risk
2025-01-20,Mankokobi Coal Mine,South Pit,7317.7,6148.2,95,73.7,8.5,2025,1,Jan,1169.5,0,1169.5,119.02,Target Achieved,Target Achieved,Good Availability,Poor Utilisation,Moderate Downtime,Available but Underutilised,No Production Shortfall,Medium Risk
2025-01-21,Mankokobi Coal Mine,Central Pit,7775.2,8139.7,85.4,73.6,9.9,2025,1,Jan,-364.5,364.5,0,95.52,Below Target,Slightly Below Target,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-01-21,Mankokobi Coal Mine,North Pit,7737.3,8275.5,91.2,80,4.2,2025,1,Jan,-538.2,538.2,0,93.5,Below Target,Underperforming,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-01-21,Mankokobi Coal Mine,South Pit,7798.3,7434,89.7,83.7,6.1,2025,1,Jan,364.3,0,364.3,104.9,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Low Risk
2025-01-22,Mankokobi Coal Mine,Central Pit,8708.4,7991.2,86.9,76.5,10.4,2025,1,Jan,717.2,0,717.2,108.97,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-22,Mankokobi Coal Mine,North Pit,7529,8604.5,84.1,65.5,10.6,2025,1,Jan,-1075.5,1075.5,0,87.5,Below Target,Critical Underperformance,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,Low Equipment Utilisation,High Risk
2025-01-22,Mankokobi Coal Mine,South Pit,7363.9,6840.6,89.4,78.1,11,2025,1,Jan,523.3,0,523.3,107.65,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-23,Mankokobi Coal Mine,Central Pit,8219.4,8623.7,93.9,65.5,6.6,2025,1,Jan,-404.3,404.3,0,95.31,Below Target,Slightly Below Target,Good Availability,Poor Utilisation,Moderate Downtime,Available but Underutilised,Low Equipment Utilisation,High Risk
2025-01-23,Mankokobi Coal Mine,North Pit,8467.4,8670.9,86.3,80.3,12.2,2025,1,Jan,-203.5,203.5,0,97.65,Below Target,Slightly Below Target,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,High Risk
2025-01-23,Mankokobi Coal Mine,South Pit,7950.5,7564.3,92.4,82.4,4.4,2025,1,Jan,386.2,0,386.2,105.11,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Low Risk
2025-01-24,Mankokobi Coal Mine,Central Pit,6907,7373.6,86.2,80.9,9.2,2025,1,Jan,-466.6,466.6,0,93.67,Below Target,Underperforming,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-24,Mankokobi Coal Mine,North Pit,9269,8043.7,88,63.4,11.6,2025,1,Jan,1225.3,0,1225.3,115.23,Target Achieved,Target Achieved,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,No Production Shortfall,High Risk
2025-01-24,Mankokobi Coal Mine,South Pit,7324.3,6839.6,89.1,81.9,4.3,2025,1,Jan,484.7,0,484.7,107.09,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Low Risk
2025-01-25,Mankokobi Coal Mine,Central Pit,6795.9,6822.7,96.6,75.9,7.8,2025,1,Jan,-26.8,26.8,0,99.61,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-25,Mankokobi Coal Mine,North Pit,7430.7,7705.8,80.3,73,10.6,2025,1,Jan,-275.1,275.1,0,96.43,Below Target,Slightly Below Target,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-01-25,Mankokobi Coal Mine,South Pit,8102.1,7192.2,83.5,81.6,12.3,2025,1,Jan,909.9,0,909.9,112.65,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,No Production Shortfall,High Risk
2025-01-26,Mankokobi Coal Mine,Central Pit,7229,7867.5,88.1,78.7,12.3,2025,1,Jan,-638.5,638.5,0,91.88,Below Target,Underperforming,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,High Risk
2025-01-26,Mankokobi Coal Mine,North Pit,7929.3,7712.8,83.4,75.6,12.3,2025,1,Jan,216.5,0,216.5,102.81,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,No Production Shortfall,High Risk
2025-01-26,Mankokobi Coal Mine,South Pit,9412.2,8095.6,90.2,75,9.2,2025,1,Jan,1316.6,0,1316.6,116.26,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-27,Mankokobi Coal Mine,Central Pit,6302.5,7697.8,80.5,85.2,4.3,2025,1,Jan,-1395.3,1395.3,0,81.87,Below Target,Critical Underperformance,Moderate Availability,Good Utilisation,Low Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-01-27,Mankokobi Coal Mine,North Pit,8049.6,8785.1,89,93.3,6.1,2025,1,Jan,-735.5,735.5,0,91.63,Below Target,Underperforming,Moderate Availability,Good Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-01-27,Mankokobi Coal Mine,South Pit,6809.1,7211.9,98,84.7,9.8,2025,1,Jan,-402.8,402.8,0,94.41,Below Target,Underperforming,Good Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-28,Mankokobi Coal Mine,Central Pit,9249.9,8319.2,85.4,66,12.3,2025,1,Jan,930.7,0,930.7,111.19,Target Achieved,Target Achieved,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,No Production Shortfall,High Risk
2025-01-28,Mankokobi Coal Mine,North Pit,8590.8,8731.7,96.1,82.9,11.4,2025,1,Jan,-140.9,140.9,0,98.39,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-28,Mankokobi Coal Mine,South Pit,6526.4,7186.8,89.5,60.8,6.1,2025,1,Jan,-660.4,660.4,0,90.81,Below Target,Underperforming,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,Low Equipment Utilisation,High Risk
2025-01-29,Mankokobi Coal Mine,Central Pit,8109.3,7151.3,90.9,85.4,6.8,2025,1,Jan,958,0,958,113.4,Target Achieved,Target Achieved,Good Availability,Good Utilisation,Moderate Downtime,Effective,No Production Shortfall,Low Risk
2025-01-29,Mankokobi Coal Mine,North Pit,8795.1,8398.7,88.3,74.8,7.7,2025,1,Jan,396.4,0,396.4,104.72,Target Achieved,Target Achieved,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-29,Mankokobi Coal Mine,South Pit,7197.9,7218.3,83.9,88.9,8.3,2025,1,Jan,-20.4,20.4,0,99.72,Below Target,Slightly Below Target,Moderate Availability,Good Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-30,Mankokobi Coal Mine,Central Pit,8562.3,8085.2,95.5,71.2,4.8,2025,1,Jan,477.1,0,477.1,105.9,Target Achieved,Target Achieved,Good Availability,Poor Utilisation,Low Downtime,Available but Underutilised,No Production Shortfall,Medium Risk
2025-01-30,Mankokobi Coal Mine,North Pit,8566,8480.8,94.3,85.2,7.2,2025,1,Jan,85.2,0,85.2,101,Target Achieved,Target Achieved,Good Availability,Good Utilisation,Moderate Downtime,Effective,No Production Shortfall,Low Risk
2025-01-30,Mankokobi Coal Mine,South Pit,6167.4,6272.2,95.9,84.2,6.7,2025,1,Jan,-104.8,104.8,0,98.33,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-01-31,Mankokobi Coal Mine,Central Pit,6539,7786.5,92.4,76,12.4,2025,1,Jan,-1247.5,1247.5,0,83.98,Below Target,Critical Underperformance,Good Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,High Risk
2025-01-31,Mankokobi Coal Mine,North Pit,7857.8,9101.8,88.4,89.4,11.4,2025,1,Jan,-1244,1244,0,86.33,Below Target,Critical Underperformance,Moderate Availability,Good Utilisation,High Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-01-31,Mankokobi Coal Mine,South Pit,6433,6121.5,87.5,68.9,4.3,2025,1,Jan,311.5,0,311.5,105.09,Target Achieved,Target Achieved,Moderate Availability,Poor Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,High Risk
2025-02-01,Mankokobi Coal Mine,Central Pit,6748.6,7343.7,90.8,74.3,5.2,2025,2,Feb,-595.1,595.1,0,91.9,Below Target,Underperforming,Good Availability,Poor Utilisation,Low Downtime,Available but Underutilised,Low Equipment Utilisation,Medium Risk
2025-02-01,Mankokobi Coal Mine,North Pit,7630.3,7906.1,90.7,83.2,7.9,2025,2,Feb,-275.8,275.8,0,96.51,Below Target,Slightly Below Target,Good Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-02-01,Mankokobi Coal Mine,South Pit,5003.1,6418.3,86.9,78.4,9.8,2025,2,Feb,-1415.2,1415.2,0,77.95,Below Target,Critical Underperformance,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-02-02,Mankokobi Coal Mine,Central Pit,6562.5,7464.1,91.2,74.2,8,2025,2,Feb,-901.6,901.6,0,87.92,Below Target,Critical Underperformance,Good Availability,Poor Utilisation,Moderate Downtime,Available but Underutilised,Low Equipment Utilisation,Medium Risk
2025-02-02,Mankokobi Coal Mine,North Pit,7857.5,8097.2,89.2,77.2,10.9,2025,2,Feb,-239.7,239.7,0,97.04,Below Target,Slightly Below Target,Moderate Availability,Moderate Utilisation,High Downtime,Needs Investigation,Further Investigation Required,Medium Risk
2025-02-02,Mankokobi Coal Mine,South Pit,6210.6,6385.4,95.5,89.5,3.9,2025,2,Feb,-174.8,174.8,0,97.26,Below Target,Slightly Below Target,Good Availability,Good Utilisation,Low Downtime,Effective,Non-Equipment Constraint,Low Risk
2025-02-03,Mankokobi Coal Mine,Central Pit,7784.2,7750.8,82.7,66.8,6,2025,2,Feb,33.4,0,33.4,100.43,Target Achieved,Target Achieved,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,High Risk
2025-02-03,Mankokobi Coal Mine,North Pit,9474.2,8820.2,82.6,78.2,8.4,2025,2,Feb,654,0,654,107.41,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-02-03,Mankokobi Coal Mine,South Pit,6510.4,7004.2,87.7,70.6,6.5,2025,2,Feb,-493.8,493.8,0,92.95,Below Target,Underperforming,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-02-04,Mankokobi Coal Mine,Central Pit,10162.4,8914.1,93.6,74.9,4.7,2025,2,Feb,1248.3,0,1248.3,114,Target Achieved,Target Achieved,Good Availability,Poor Utilisation,Low Downtime,Available but Underutilised,No Production Shortfall,Medium Risk
